"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2060,158,"NLD","Netherlands",1,"Drenthe"," "," ","Provincie","Province"
2061,158,"NLD","Netherlands",2,"Flevoland"," "," ","Provincie","Province"
2062,158,"NLD","Netherlands",3,"Friesland"," ","Frise|Frisia|Frísia","Provincie","Province"
2063,158,"NLD","Netherlands",4,"Gelderland"," ","Geldern|Gheldria|Guelders|Gueldre","Provincie","Province"
2064,158,"NLD","Netherlands",5,"Groningen"," ","Groninga|Groningue","Provincie","Province"
2065,158,"NLD","Netherlands",6,"IJsselmeer"," "," ","Water body","Water body"
2066,158,"NLD","Netherlands",7,"Limburg"," ","Limbourg|Limburgo","Provincie","Province"
2067,158,"NLD","Netherlands",8,"Noord-Brabant"," ","Brabante del Norte|Brabante do Norte|Brabante settentrionale|Brabant-septentrional|Nord-Brabant|Nort","Provincie","Province"
2068,158,"NLD","Netherlands",9,"Noord-Holland"," ","Holanda do Norte|Hollande-septentrionale|North Holland","Provincie","Province"
2069,158,"NLD","Netherlands",10,"Overijssel"," "," ","Provincie","Province"
2070,158,"NLD","Netherlands",11,"Utrecht"," "," ","Provincie","Province"
2071,158,"NLD","Netherlands",12,"Zeeland"," ","Zelanda|Zélande|Zelândia","Provincie","Province"
2072,158,"NLD","Netherlands",13,"Zeeuwse meren"," "," ","Water body","Water body"
2073,158,"NLD","Netherlands",14,"Zuid-Holland"," ","Hollande-méridionale|South Holland","Provincie","Province"
